id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
45140,CO-0039,heliport,"Proma Heliport",4.728056,-74.084444,,SA,CO,CO-CUN,Bogota,no,,PRM,,,,
45141,CO-0040,heliport,"Caja De Vivienda Militar Heliport",4.646389,-74.083333,,SA,CO,CO-ANT,MedellÃ­n,no,,CAJ,,,,
45142,CO-0041,heliport,"Parque Central Bavaria Heliport",4.620278,-74.073333,,SA,CO,CO-CUN,Bogota,no,,IPA,,,,
45143,CO-0042,heliport,"Clinica Shaio Heliport",4.700833,-74.0675,,SA,CO,CO-CUN,BogotÃ¡,no,,CLI,,,,
45144,CO-0043,heliport,"Centro Comercial Andino Heliport",4.669167,-74.056111,,SA,CO,CO-CUN,BogotÃ¡,no,,CER,,,,
45145,CO-0044,heliport,"I.N.G. Barings Heliport",4.660556,-74.054444,,SA,CO,CO-CUN,Bogota,no,,ING,,,,
45146,CO-0045,heliport,"Bavaria Heliport",4.677778,-74.047222,,SA,CO,CO-CUN,BogotÃ¡,no,,BAV,,,,
45147,CO-0046,heliport,"Apotema Heliport",4.693333,-74.039444,,SA,CO,CO-CUN,BogotÃ¡,no,,APT,,,,
45149,CO-0048,heliport,"Ecopetrol Heliport",7.0775,-73.865,,SA,CO,CO-SAN,Barrancabermeja,no,,ECO,,,,
45150,CO-0049,heliport,"Isa Giron Heliport",7.058333,-73.129722,,SA,CO,CO-SAN,Giron,no,,ISG,,,,
45151,CO-0050,heliport,"Estacion De Bomberos Heliport",7.113611,-73.129167,,SA,CO,CO-SAN,Bucaramanga,no,,EST,,,,
45152,CO-0051,heliport,"Fundacion Oftalmologica De Santander Heliport",7.074722,-73.115278,,SA,CO,CO-SAN,Bucaramanga,no,,FUA,,,,
41596,CO-API,small_airport,"Apiay Airport",4.06889,-73.051903,596,SA,CO,CO-MET,Apiay,no,,API,,,,
35318,CO-APO,small_airport,"ApartadÃ³ Airport",7.033,-77.199997,,SA,CO,CO-CHO,ApartadÃ³,yes,,APO,,,,
30652,CO-ARQ,small_airport,"El Troncal Airport",7.02106,-71.388901,512,SA,CO,CO-ARA,Arauquita,no,,ARQ,,,,
41597,CO-LCR,small_airport,"La Chorrera Airport",-0.733333,-73.01667,709,SA,CO,CO-AMA,"La Chorrera",yes,,LCR,,,,
32342,CO-SNT,small_airport,"Las Cruces Airport",7.38322,-73.505402,440,SA,CO,CO-SAN,"Sabana De Torres",no,,SNT,,,,
35319,CO-TCD,small_airport,"TarapacÃ¡ Airport",-2.867,-69.733002,,SA,CO,CO-AMA,TarapacÃ¡,yes,,TCD,,,,
1465,CPV7,small_airport,"Poplar Hill Airport",52.1133003234863,-94.2555999755859,1095,NA,CA,CA-ON,"Poplar Hill",yes,CPV7,YHP,CPV7,,http://en.wikipedia.org/wiki/Poplar_Hill_Airport,PV7
1563,CSU2,small_airport,"Chisasibi Airport",53.8055992126465,-78.9169006347656,43,NA,CA,CA-QC,Chisasibi,yes,CSU2,YKU,CSU2,,http://en.wikipedia.org/wiki/Chisasibi_Airport,SU2
1590,CTB6,small_airport,"TÃªte-Ã -la-Baleine Airport",50.6744003295898,-59.3835983276367,107,NA,CA,CA-QC,"TÃªte-Ã -la-Baleine",yes,CTB6,ZTB,CTB6,,http://en.wikipedia.org/wiki/T%C3%AAte-%C3%A0-La-Baleine_Airport,TB6
28350,CTR7,seaplane_base,"Ottawa / Rockcliffe Seaplane Base",45.4638329461,-75.6425428391,,NA,CA,CA-ON,Ottawa,no,CTR7,TR7,CTR7,,,TR7
1619,CTU5,small_airport,"La TabatiÃ¨re Airport",50.8307991027832,-58.9756011962891,102,NA,CA,CA-QC,"La TabatiÃ¨re",yes,CTU5,ZLT,CTU5,,http://en.wikipedia.org/wiki/La_Tabati%C3%A8re_Airport,TU5
42277,CU-0002,small_airport,"Punta de Maisi Airport",20.2506008148,-74.1504974365,3,NA,CU,CU-14,Maisi,no,MUMA,UMA,,,,
42278,CU-0003,small_airport,"Preston Airport",20.7350006103516,-75.6583023071289,13,NA,CU,CU-11,Preston,no,,PST,,,,
44646,CY-0002,medium_airport,"GeÃ§itkale Air Base",35.2359466552734,33.7243576049805,,AS,CY,CY-03,,yes,,GEC,,,,
35128,CY-NIC,closed,"Nicosia International Airport",35.1507987976074,33.2787017822266,,AS,CY,CY-02,Nicosia,no,,NIC,,,http://en.wikipedia.org/wiki/Nicosia_International_Airport,"RAF Nicosia, Lefkosia, NIC.OLD"
1652,CYAC,medium_airport,"Cat Lake Airport",51.7271995544434,-91.8244018554688,1344,NA,CA,CA-ON,"Cat Lake",yes,CYAC,YAC,,,http://en.wikipedia.org/wiki/Cat_Lake_Airport,
1654,CYAG,medium_airport,"Fort Frances Municipal Airport",48.6542015075684,-93.439697265625,1125,NA,CA,CA-ON,"Fort Frances",yes,CYAG,YAG,,,http://en.wikipedia.org/wiki/Fort_Frances_Municipal_Airport,
1655,CYAH,medium_airport,"La Grande-4 Airport",53.754699707,-73.6753005981,1005,NA,CA,CA-QC,"La Grande-4",no,CYAH,YAH,,,http://en.wikipedia.org/wiki/La_Grande-4_Airport,YAH
1656,CYAL,medium_airport,"Alert Bay Airport",50.5821990966797,-126.916000366211,240,NA,CA,CA-BC,"Alert Bay",no,CYAL,YAL,,,http://en.wikipedia.org/wiki/Alert_Bay_Airport,
1657,CYAM,medium_airport,"Sault Ste Marie Airport",46.4850006103516,-84.5093994140625,630,NA,CA,CA-ON,"Sault Ste Marie",yes,CYAM,YAM,,http://www.saultairport.com/,http://en.wikipedia.org/wiki/Sault_Ste._Marie_Airport,
1658,CYAQ,medium_airport,"Kasabonika Airport",53.5247001647949,-88.6427993774414,672,NA,CA,CA-ON,Kasabonika,yes,CYAQ,XKS,,,http://en.wikipedia.org/wiki/Kasabonika_Airport,YAQ
1659,CYAS,medium_airport,"Kangirsuk Airport",60.0271987915039,-69.9991989135742,403,NA,CA,CA-QC,Kangirsuk,yes,CYAS,YKG,,,http://en.wikipedia.org/wiki/Kangirsuk_Airport,YAS
1660,CYAT,medium_airport,"Attawapiskat Airport",52.9275016784668,-82.4319000244141,31,NA,CA,CA-ON,Attawapiskat,yes,CYAT,YAT,,,http://en.wikipedia.org/wiki/Attawapiskat_Airport,
1661,CYAU,medium_airport,"Liverpool South Shore Regional Airport",44.2303009033,-64.8561019897,321,NA,CA,CA-NS,Liverpool,no,CYAU,YAU,,,http://en.wikipedia.org/wiki/Liverpool/South_Shore_Regional_Airport,
1662,CYAV,medium_airport,"Winnipeg St Andrews Airport",50.0564002990723,-97.0325012207031,760,NA,CA,CA-MB,Winnipeg,no,CYAV,YAV,,,http://en.wikipedia.org/wiki/Winnipeg/St._Andrews_Airport,
1663,CYAW,heliport,"Halifax / CFB Shearwater Heliport",44.6397018433,-63.4994010925,144,NA,CA,CA-NS,Halifax,no,CYAW,YAW,,,http://en.wikipedia.org/wiki/CFB_Shearwater,YAW
1664,CYAX,medium_airport,"Lac Du Bonnet Airport",50.2943992614746,-96.0100021362305,850,NA,CA,CA-MB,"Lac Du Bonnet",yes,CYAX,YAX,,,http://en.wikipedia.org/wiki/Angling_Lake/Wapekeka_Airport,
1665,CYAY,medium_airport,"St Anthony Airport",51.3918991088867,-56.0830993652344,108,NA,CA,CA-NL,"St. Anthony",yes,CYAY,YAY,,,http://en.wikipedia.org/wiki/St._Anthony_Airport,
1666,CYAZ,medium_airport,"Tofino / Long Beach Airport",49.0798255464,-125.775604248,80,NA,CA,CA-BC,Tofino,yes,CYAZ,YAZ,,,http://en.wikipedia.org/wiki/Tofino_Airport,yaz
1668,CYBB,medium_airport,"Kugaaruk Airport",68.5344009399,-89.8080978394,56,NA,CA,CA-NU,Kugaaruk,no,CYBB,YBB,,,http://en.wikipedia.org/wiki/Kugaaruk_Airport,YBB
1669,CYBC,medium_airport,"Baie Comeau Airport",49.1324996948242,-68.2043991088867,71,NA,CA,CA-QC,Baie-Comeau,yes,CYBC,YBC,,,http://en.wikipedia.org/wiki/Baie-Comeau_Airport,
1670,CYBD,medium_airport,"Bella Coola Airport",52.3875007629395,-126.596000671387,117,NA,CA,CA-BC,"Bella Coola",no,CYBD,QBC,,,http://en.wikipedia.org/wiki/Bella_Coola_Airport,YBD
1671,CYBE,medium_airport,"Uranium City Airport",59.5614013671875,-108.481002807617,1044,NA,CA,CA-SK,"Uranium City",yes,CYBE,YBE,,,http://en.wikipedia.org/wiki/Uranium_City_Airport,
1672,CYBF,medium_airport,"Bonnyville Airport",54.30419921875,-110.744003295898,1836,NA,CA,CA-AB,Bonnyville,no,CYBF,YBY,,http://town.bonnyville.ab.ca/livingin/airport/index.html,http://en.wikipedia.org/wiki/Bonnyville_Airport,YBF
1673,CYBG,medium_airport,"CFB Bagotville",48.3306007385254,-70.9963989257812,522,NA,CA,CA-QC,Bagotville,yes,CYBG,YBG,,,http://en.wikipedia.org/wiki/CFB_Bagotville,"Bagotville Airport"
